interest;gains_1;gains_2;losses_1;losses_2;outs_1;outs_2
0;166,66;47;11,46;14;0;0,98
5;165,74;52,5;11,66;18;0;0,96
10;160,18;62;12,14;24,4;0;0,9
15;158,94;64,16666667;13,36;32;0;0,88
20;159,4583333;60,25;11,16666667;24;0,04;0,92
25;160,1555556;92,5;12,88888889;28,5;0,1;0,92
30;147,7027027;93,83333333;15,97297297;14,91666667;0,26;0,76
35;139,4761905;96,92857143;15,42857143;25,14285714;0,16;0,72
40;131,0571429;108,5;16,05714286;27,4375;0,3;0,68
45;104,0769231;120,5;17,46153846;17,83333333;0,48;0,52
50;133,2916667;136,9411765;15,08333333;13,88235294;0,52;0,66
55;124,8695652;141,5;14,52173913;13,0625;0,54;0,68
60;98,27272727;145,3076923;18,81818182;11,76923077;0,78;0,48
65;113,7272727;146,6363636;15,72727273;13,36363636;0,78;0,56
70;113,6;139,1153846;15,73333333;12,69230769;0,7;0,48
75;111,3636364;151,3703704;16,36363636;16,03703704;0,78;0,46
80;97,90909091;143,6;17,90909091;13,64;0,78;0,5
85;80,73333333;146,1333333;22,6;12,86666667;0,7;0,4
90;136,5;159,24;13;11,84;0,88;0,5
95;80;152,24;11,4;15,48;0,9;0,5
100;87,28571429;154,1333333;14,85714286;12,23333333;0,86;0,4
